Order_ID,Date,Time,Month,Day,Customer_ID,Customer_Type,Gender,Age,Table_No,Waiter,Category,Item,Quantity,Unit_Price,Sales,Discount,Tax,Total_Bill,Payment_Method,Order_Type,Rating,Profit
ORD00145,01-05-2025,02:16:52,May,Thursday,CUST1187,Returning,Female,62,8,James,Drinks,Tea,3,2.49,7.47,0.34,1.43,8.56,Cash,Takeaway,4,2.56
ORD00146,23-03-2025,12:02:53,March,Sunday,CUST7021,New,Male,26,16,Daniel,Drinks,Tea,1,2.49,2.49,0.24,0.45,2.7,Google Pay,Delivery,5,0.88
ORD00147,11-07-2025,00:01:28,July,Friday,CUST5054,New,Female,51,12,Sophia,Drinks,Fresh Juice,5,4.49,22.45,2.7,3.95,23.7,Online,Dine-in,3,7.38
ORD00148,08-10-2025,15:11:36,October,Wednesday,CUST2904,New,Female,23,17,Emily,Main Course,Butter Chicken,2,15.99,31.98,1.57,6.08,36.49,Cash,Takeaway,3,9.98
ORD00149,20-09-2025,22:40:41,September,Saturday,CUST6049,New,Female,34,1,Emma,Drinks,Fresh Juice,5,4.49,22.45,0.19,4.45,26.71,Online,Dine-in,3,7.11
ORD00150,05-08-2025,20:40:44,August,Tuesday,CUST2130,Returning,Male,36,14,Daniel,Desserts,Cheesecake,1,6.99,6.99,0.57,1.28,7.7,Card,Delivery,5,1.66
ORD00151,27-11-2025,07:01:48,November,Thursday,CUST7184,Returning,Male,61,18,Daniel,Drinks,Tea,4,2.49,9.96,0.67,1.86,11.15,Apple Pay,Dine-in,3,3.6
ORD00152,03-10-2025,22:31:15,October,Friday,CUST5888,Returning,Female,52,13,Emma,Drinks,Coffee,2,3.99,7.98,1,1.4,8.38,Card,Takeaway,4,2.54
ORD00153,21-03-2025,21:11:53,March,Friday,CUST1256,New,Male,22,4,James,Desserts,Ice Cream,1,4.99,4.99,0.02,0.99,5.96,Google Pay,Delivery,5,1.73
ORD00154,27-12-2025,11:18:16,December,Saturday,CUST4559,New,Male,50,10,Emma,Starters,Garlic Bread,1,4.99,4.99,0.3,0.94,5.63,Online,Takeaway,5,1.34
ORD00155,03-11-2025,19:14:12,November,Monday,CUST9540,New,Female,37,9,James,Desserts,Ice Cream,3,4.99,14.97,1.97,2.6,15.6,Online,Delivery,5,5.17
ORD00156,31-03-2025,19:01:17,March,Monday,CUST7244,Returning,Female,44,5,Michael,Drinks,Fresh Juice,1,4.49,4.49,0.65,0.77,4.61,Google Pay,Dine-in,5,1.5
ORD00157,31-08-2025,00:44:22,August,Sunday,CUST8586,New,Female,44,18,Daniel,Main Course,Paneer Butter Masala,3,13.99,41.97,5.4,7.31,43.88,Google Pay,Dine-in,4,9.93
ORD00158,15-04-2025,19:42:42,April,Tuesday,CUST2514,New,Male,35,13,James,Desserts,Cheesecake,1,6.99,6.99,0.97,1.2,7.22,Cash,Dine-in,5,2.27
ORD00159,10-12-2025,03:27:24,December,Wednesday,CUST1251,New,Male,65,4,Emily,Main Course,Fish & Chips,2,17.99,35.98,4.69,6.26,37.55,Card,Delivery,5,9.39
ORD00160,27-12-2025,15:49:46,December,Saturday,CUST7236,Returning,Female,37,9,Olivia,Main Course,Pasta,2,13.49,26.98,2.23,4.95,29.7,Online,Takeaway,4,9.07
ORD00161,20-02-2025,04:09:01,February,Thursday,CUST4625,New,Male,34,18,David,Drinks,Tea,2,2.49,4.98,0.28,0.94,5.64,Apple Pay,Dine-in,3,1.47
ORD00162,18-06-2025,21:56:45,June,Wednesday,CUST6530,Returning,Female,64,16,Emily,Main Course,Pasta,5,13.49,67.45,8.43,11.8,70.82,Card,Delivery,4,19.18
ORD00163,28-03-2025,22:56:55,March,Friday,CUST1962,New,Male,60,2,James,Main Course,Fish & Chips,2,17.99,35.98,4.95,6.21,37.24,Google Pay,Dine-in,5,10.28
ORD00164,29-04-2025,12:50:56,April,Tuesday,CUST1990,Returning,Female,19,1,David,Starters,Garlic Bread,1,4.99,4.99,0.16,0.97,5.8,Cash,Dine-in,5,1.54
ORD00165,21-05-2025,06:03:09,May,Wednesday,CUST3937,New,Male,51,5,Emma,Desserts,Ice Cream,5,4.99,24.95,3.04,4.38,26.29,Card,Delivery,5,7.69
ORD00166,10-05-2025,11:18:40,May,Saturday,CUST8520,New,Male,37,3,James,Desserts,Brownie,4,5.99,23.96,0.28,4.74,28.42,Cash,Takeaway,4,9.33
ORD00167,13-07-2025,21:09:32,July,Sunday,CUST8109,Returning,Male,51,2,Emma,Drinks,Coke,1,2.99,2.99,0.32,0.53,3.2,Card,Delivery,5,0.7
ORD00168,01-09-2025,11:50:39,September,Monday,CUST9897,New,Male,38,1,Emma,Desserts,Ice Cream,1,4.99,4.99,0.51,0.9,5.38,Online,Dine-in,5,1.31
ORD00169,23-07-2025,02:59:56,July,Wednesday,CUST7375,Returning,Female,65,5,Sophia,Starters,Chicken Wings,2,8.99,17.98,1.52,3.29,19.75,Online,Delivery,4,5.51
ORD00170,28-01-2025,07:05:00,January,Tuesday,CUST7499,Returning,Male,58,9,Emily,Starters,Soup,2,5.99,11.98,1.51,2.09,12.56,Google Pay,Dine-in,4,3.15
ORD00171,11-10-2025,16:33:35,October,Saturday,CUST2404,Returning,Male,63,3,Sophia,Drinks,Fresh Juice,2,4.49,8.98,0.92,1.61,9.67,Apple Pay,Dine-in,4,2.81
ORD00172,31-12-2025,12:59:18,December,Wednesday,CUST6050,Returning,Female,35,4,Daniel,Main Course,Pasta,3,13.49,40.47,2.19,7.66,45.94,Cash,Dine-in,4,10.1
ORD00173,18-08-2025,08:34:16,August,Monday,CUST6315,Returning,Male,36,14,David,Drinks,Coke,1,2.99,2.99,0.04,0.59,3.54,Cash,Delivery,5,0.98
ORD00174,05-05-2025,18:34:28,May,Monday,CUST9079,New,Male,28,14,Michael,Main Course,Pasta,2,13.49,26.98,0.56,5.28,31.7,Google Pay,Takeaway,4,7.8
ORD00175,09-02-2025,01:26:17,February,Sunday,CUST4203,Returning,Male,26,10,James,Desserts,Brownie,2,5.99,11.98,1.3,2.14,12.82,Google Pay,Takeaway,5,3.46
ORD00176,14-07-2025,21:05:44,July,Monday,CUST3230,Returning,Female,56,7,Emily,Desserts,Brownie,3,5.99,17.97,1.16,3.36,20.17,Apple Pay,Dine-in,4,6.28
ORD00177,13-06-2025,03:44:41,June,Friday,CUST6339,Returning,Female,43,12,Sophia,Desserts,Cheesecake,4,6.99,27.96,4.06,4.78,28.68,Online,Dine-in,5,8.78
ORD00178,07-10-2025,01:47:51,October,Tuesday,CUST5773,New,Female,61,16,Daniel,Main Course,Chicken Biryani,4,14.99,59.96,8.48,10.3,61.78,Apple Pay,Dine-in,4,14.49
ORD00179,04-12-2025,06:23:57,December,Thursday,CUST8851,Returning,Female,52,2,Olivia,Main Course,Pasta,4,13.49,53.96,0.6,10.67,64.03,Online,Delivery,5,21.27
ORD00180,13-02-2025,21:53:46,February,Thursday,CUST7547,Returning,Female,24,1,Sophia,Starters,Garlic Bread,3,4.99,14.97,0.37,2.92,17.52,Apple Pay,Dine-in,5,4.99
ORD00181,23-09-2025,14:01:23,September,Tuesday,CUST9199,New,Female,19,16,Sophia,Main Course,Fish & Chips,3,17.99,53.97,3.17,10.16,60.96,Apple Pay,Takeaway,3,18.59
ORD00182,01-03-2025,16:35:13,March,Saturday,CUST9537,Returning,Female,48,4,Emily,Main Course,Burger,3,11.99,35.97,1.85,6.82,40.94,Google Pay,Takeaway,3,12.54
ORD00183,03-06-2025,10:48:50,June,Tuesday,CUST3692,New,Male,53,6,Olivia,Starters,Spring Rolls,1,6.99,6.99,0.89,1.22,7.32,Online,Takeaway,4,2.12
ORD00184,29-04-2025,08:35:32,April,Tuesday,CUST1478,New,Female,55,14,David,Drinks,Coffee,2,3.99,7.98,0.77,1.44,8.65,Cash,Delivery,3,2.27
ORD00185,16-04-2025,06:06:52,April,Wednesday,CUST9796,New,Female,38,7,Emily,Desserts,Cheesecake,1,6.99,6.99,0.61,1.28,7.66,Cash,Takeaway,5,2.36
ORD00186,08-09-2025,17:31:53,September,Monday,CUST6700,Returning,Female,57,6,Michael,Desserts,Cheesecake,4,6.99,27.96,2.56,5.08,30.48,Online,Delivery,3,8.59
ORD00187,11-12-2025,20:40:57,December,Thursday,CUST7116,New,Female,44,20,Daniel,Main Course,Burger,1,11.99,11.99,0.43,2.31,13.87,Online,Takeaway,4,3.09
ORD00188,06-04-2025,10:12:16,April,Sunday,CUST4065,Returning,Female,57,2,Olivia,Drinks,Coffee,5,3.99,19.95,0.5,3.89,23.34,Cash,Takeaway,3,5.71
ORD00189,10-04-2025,06:11:10,April,Thursday,CUST8272,Returning,Male,23,19,James,Drinks,Fresh Juice,4,4.49,17.96,1.84,3.22,19.34,Card,Takeaway,3,5.03
ORD00190,21-05-2025,12:42:50,May,Wednesday,CUST9115,New,Male,35,18,Olivia,Main Course,Pizza,2,16.99,33.98,3.98,6,36,Online,Dine-in,5,10.05
ORD00191,14-08-2025,18:03:26,August,Thursday,CUST5055,Returning,Male,46,9,Olivia,Main Course,Pasta,1,13.49,13.49,1.49,2.4,14.4,Cash,Takeaway,3,4.18
ORD00192,02-05-2025,19:29:41,May,Friday,CUST3281,New,Male,21,19,Olivia,Main Course,Burger,5,11.99,59.95,5.69,10.85,65.11,Online,Takeaway,5,14.92
ORD00193,03-10-2025,12:21:27,October,Friday,CUST9428,New,Male,44,2,Michael,Main Course,Burger,3,11.99,35.97,1.56,6.88,41.29,Card,Delivery,3,9.98
ORD00194,08-05-2025,08:58:48,May,Thursday,CUST9019,New,Female,58,14,David,Main Course,Burger,2,11.99,23.98,2.74,4.25,25.49,Google Pay,Dine-in,5,7.46
ORD00195,17-02-2025,06:41:26,February,Monday,CUST1040,New,Female,58,12,Sophia,Drinks,Tea,3,2.49,7.47,0.51,1.39,8.35,Online,Takeaway,3,2.25
ORD00196,08-08-2025,04:34:59,August,Friday,CUST9967,New,Female,39,2,James,Main Course,Fish & Chips,3,17.99,53.97,2.61,10.27,61.63,Cash,Delivery,4,15.02
ORD00197,09-01-2025,11:28:25,January,Thursday,CUST8009,New,Male,59,10,Daniel,Starters,Garlic Bread,4,4.99,19.96,1.37,3.72,22.31,Apple Pay,Dine-in,5,7.41
ORD00198,04-07-2025,19:01:51,July,Friday,CUST1848,Returning,Female,64,8,David,Desserts,Ice Cream,3,4.99,14.97,1.49,2.7,16.18,Cash,Delivery,3,4.68
ORD00199,01-01-2025,08:48:16,January,Wednesday,CUST8291,New,Male,62,11,Sophia,Main Course,Fish & Chips,1,17.99,17.99,0.36,3.53,21.16,Google Pay,Delivery,3,5.01
ORD00200,02-09-2025,00:10:53,September,Tuesday,CUST2690,Returning,Female,37,5,David,Starters,Garlic Bread,4,4.99,19.96,0.27,3.94,23.63,Card,Delivery,5,7.3
ORD00201,15-03-2025,12:02:58,March,Saturday,CUST4490,New,Female,57,15,Emma,Starters,Spring Rolls,5,6.99,34.95,3.41,6.31,37.85,Cash,Dine-in,3,9.97
ORD00202,05-03-2025,19:58:22,March,Wednesday,CUST5537,New,Male,53,20,Michael,Drinks,Tea,4,2.49,9.96,0.47,1.9,11.39,Cash,Delivery,4,2.57
ORD00203,16-04-2025,12:39:01,April,Wednesday,CUST4921,Returning,Female,25,8,Emily,Main Course,Pasta,3,13.49,40.47,3.92,7.31,43.86,Online,Dine-in,5,13.43
ORD00204,07-01-2025,06:16:00,January,Tuesday,CUST7895,Returning,Male,48,3,James,Desserts,Brownie,2,5.99,11.98,0.7,2.26,13.54,Online,Dine-in,3,4.24
ORD00205,15-05-2025,15:17:03,May,Thursday,CUST5693,Returning,Female,62,13,Sophia,Main Course,Chicken Biryani,1,14.99,14.99,2.13,2.57,15.43,Online,Delivery,5,3.98
ORD00206,20-03-2025,06:13:47,March,Thursday,CUST3545,Returning,Female,55,3,Michael,Desserts,Ice Cream,3,4.99,14.97,0.18,2.96,17.75,Google Pay,Delivery,3,5.74
ORD00207,30-01-2025,17:13:43,January,Thursday,CUST1901,Returning,Male,25,1,Daniel,Main Course,Veg Biryani,4,12.99,51.96,0.9,10.21,61.27,Cash,Dine-in,4,17.45
ORD00208,27-06-2025,21:55:00,June,Friday,CUST5403,New,Male,39,14,Michael,Desserts,Ice Cream,3,4.99,14.97,0.29,2.94,17.62,Online,Dine-in,4,5.39
ORD00209,31-12-2025,09:36:34,December,Wednesday,CUST3734,Returning,Male,34,4,Sophia,Starters,Soup,4,5.99,23.96,1.84,4.42,26.54,Card,Delivery,5,5.71
ORD00210,02-01-2025,10:28:10,January,Thursday,CUST3458,New,Male,53,14,Emma,Starters,Spring Rolls,2,6.99,13.98,0.1,2.78,16.66,Apple Pay,Dine-in,4,4.23
ORD00211,13-06-2025,08:18:39,June,Friday,CUST1862,New,Male,51,2,David,Desserts,Ice Cream,5,4.99,24.95,1.4,4.71,28.26,Cash,Takeaway,4,7.66
ORD00212,09-06-2025,22:25:44,June,Monday,CUST5777,Returning,Male,47,12,Emily,Desserts,Ice Cream,5,4.99,24.95,1.71,4.65,27.89,Card,Delivery,5,7.1
ORD00213,06-05-2025,04:41:21,May,Tuesday,CUST1157,Returning,Male,60,13,Michael,Main Course,Chicken Biryani,4,14.99,59.96,0.22,11.95,71.69,Cash,Dine-in,5,19.79
ORD00214,02-05-2025,02:31:10,May,Friday,CUST5584,New,Male,32,17,David,Drinks,Fresh Juice,1,4.49,4.49,0.66,0.77,4.6,Apple Pay,Takeaway,5,1.04
ORD00215,13-02-2025,04:31:37,February,Thursday,CUST8126,New,Male,36,9,Olivia,Starters,Garlic Bread,4,4.99,19.96,0.22,3.95,23.69,Google Pay,Delivery,5,6.62
ORD00216,17-06-2025,17:01:55,June,Tuesday,CUST3230,New,Male,24,6,Emily,Desserts,Brownie,3,5.99,17.97,0.63,3.47,20.81,Google Pay,Takeaway,4,6.79
ORD00217,03-03-2025,07:19:38,March,Monday,CUST2964,New,Male,61,10,James,Desserts,Ice Cream,4,4.99,19.96,0.92,3.81,22.85,Card,Takeaway,3,5.52
ORD00218,16-02-2025,03:21:22,February,Sunday,CUST5262,New,Male,43,15,Emma,Main Course,Burger,4,11.99,47.96,3.69,8.85,53.12,Cash,Takeaway,3,15.56
ORD00219,13-03-2025,00:00:25,March,Thursday,CUST3141,New,Female,41,3,Michael,Starters,Spring Rolls,1,6.99,6.99,0.87,1.22,7.34,Cash,Dine-in,3,2.43
ORD00220,12-04-2025,16:17:55,April,Saturday,CUST6432,New,Male,47,2,Daniel,Drinks,Coffee,1,3.99,3.99,0.54,0.69,4.14,Online,Takeaway,5,1.29
ORD00221,22-07-2025,14:28:41,July,Tuesday,CUST4517,New,Female,35,15,Daniel,Drinks,Coke,4,2.99,11.96,1.23,2.15,12.88,Cash,Delivery,5,2.96
ORD00222,12-11-2025,07:48:28,November,Wednesday,CUST1999,New,Female,42,5,David,Main Course,Pizza,4,16.99,67.96,4.2,12.75,76.51,Card,Delivery,5,21.21
ORD00223,08-05-2025,23:10:37,May,Thursday,CUST6636,Returning,Female,35,6,James,Starters,Soup,3,5.99,17.97,1.29,3.34,20.02,Apple Pay,Delivery,3,6.13
ORD00224,16-01-2025,19:33:01,January,Thursday,CUST4813,New,Male,33,8,Michael,Desserts,Ice Cream,4,4.99,19.96,1.59,3.67,22.04,Online,Delivery,3,6.71
ORD00225,23-04-2025,10:14:25,April,Wednesday,CUST6878,New,Female,54,19,Daniel,Drinks,Tea,2,2.49,4.98,0.13,0.97,5.82,Online,Dine-in,4,1.64
ORD00226,05-10-2025,03:47:15,October,Sunday,CUST4584,New,Female,18,11,Emma,Desserts,Ice Cream,4,4.99,19.96,0.11,3.97,23.82,Card,Takeaway,5,5.13
ORD00227,01-04-2025,18:24:17,April,Tuesday,CUST3320,New,Female,22,12,David,Desserts,Ice Cream,1,4.99,4.99,0.11,0.98,5.86,Online,Dine-in,4,1.74
ORD00228,04-06-2025,18:34:17,June,Wednesday,CUST8982,Returning,Male,63,18,Olivia,Desserts,Ice Cream,2,4.99,9.98,1.1,1.78,10.66,Card,Delivery,5,2.8
ORD00229,31-03-2025,06:27:26,March,Monday,CUST7415,New,Male,56,11,Emma,Drinks,Tea,3,2.49,7.47,0.14,1.47,8.8,Online,Dine-in,4,2.63
ORD00230,14-03-2025,10:27:28,March,Friday,CUST3750,New,Female,46,1,Michael,Desserts,Cheesecake,1,6.99,6.99,0.25,1.35,8.09,Card,Dine-in,5,2.68
ORD00231,04-02-2025,09:42:15,February,Tuesday,CUST8179,Returning,Male,44,16,David,Desserts,Brownie,1,5.99,5.99,0.65,1.07,6.41,Apple Pay,Delivery,4,1.37
ORD00232,21-02-2025,18:31:17,February,Friday,CUST1547,Returning,Male,38,9,Sophia,Drinks,Coffee,2,3.99,7.98,0.54,1.49,8.93,Cash,Takeaway,3,2.75
ORD00233,12-07-2025,04:29:24,July,Saturday,CUST6536,Returning,Male,45,6,David,Main Course,Veg Biryani,5,12.99,64.95,9.18,11.15,66.92,Card,Dine-in,3,22.12
ORD00234,19-06-2025,12:35:52,June,Thursday,CUST9849,Returning,Female,37,8,Sophia,Main Course,Paneer Butter Masala,4,13.99,55.96,5.85,10.02,60.13,Cash,Takeaway,5,17.95
ORD00235,09-10-2025,20:20:16,October,Thursday,CUST5825,Returning,Male,24,1,Emma,Drinks,Coffee,1,3.99,3.99,0.22,0.75,4.52,Card,Delivery,4,1.18
ORD00236,11-02-2025,10:52:05,February,Tuesday,CUST5341,New,Female,29,12,David,Drinks,Coke,3,2.99,8.97,1.06,1.58,9.49,Apple Pay,Dine-in,4,2.54
ORD00237,23-01-2025,17:32:49,January,Thursday,CUST2009,New,Male,23,12,David,Desserts,Brownie,4,5.99,23.96,0.95,4.6,27.61,Online,Dine-in,5,8.64
ORD00238,01-02-2025,16:31:42,February,Saturday,CUST4860,Returning,Female,23,13,James,Drinks,Fresh Juice,5,4.49,22.45,2.31,4.03,24.17,Online,Delivery,5,7.86
ORD00239,20-10-2025,14:40:37,October,Monday,CUST4471,New,Male,20,14,Sophia,Main Course,Veg Biryani,4,12.99,51.96,1.35,10.12,60.73,Google Pay,Dine-in,5,20.13
ORD00240,17-03-2025,08:01:20,March,Monday,CUST6343,Returning,Female,18,20,David,Desserts,Brownie,1,5.99,5.99,0.08,1.18,7.09,Cash,Takeaway,3,1.97
ORD00241,17-03-2025,00:57:18,March,Monday,CUST9775,Returning,Female,34,13,Emily,Starters,Spring Rolls,5,6.99,34.95,4.09,6.17,37.03,Online,Delivery,4,11.35
ORD00242,20-01-2025,06:15:27,January,Monday,CUST7581,New,Female,39,8,James,Main Course,Pizza,4,16.99,67.96,1.47,13.3,79.79,Google Pay,Takeaway,4,22.69
ORD00243,11-01-2025,04:23:24,January,Saturday,CUST2609,New,Male,37,15,Olivia,Desserts,Brownie,3,5.99,17.97,0.76,3.44,20.65,Apple Pay,Delivery,4,5.57
ORD00244,06-11-2025,10:59:41,November,Thursday,CUST8937,Returning,Male,50,6,Sophia,Starters,Garlic Bread,4,4.99,19.96,0.63,3.87,23.2,Apple Pay,Delivery,5,7.22
ORD00245,26-07-2025,13:49:30,July,Saturday,CUST1944,New,Male,47,2,Olivia,Main Course,Chicken Biryani,2,14.99,29.98,0.87,5.82,34.93,Card,Takeaway,4,10.91
ORD00246,26-08-2025,21:27:08,August,Tuesday,CUST8308,New,Female,55,18,Olivia,Drinks,Coke,1,2.99,2.99,0.11,0.58,3.46,Apple Pay,Dine-in,4,0.93
ORD00247,19-12-2025,12:46:01,December,Friday,CUST4511,New,Male,61,7,Michael,Starters,Chicken Wings,1,8.99,8.99,0.52,1.69,10.16,Google Pay,Delivery,3,2.32
ORD00248,16-12-2025,17:50:43,December,Tuesday,CUST1138,New,Female,56,10,Michael,Starters,Soup,2,5.99,11.98,1.16,2.16,12.98,Google Pay,Takeaway,4,3.68
ORD00249,24-08-2025,21:18:49,August,Sunday,CUST7506,New,Male,50,12,Michael,Desserts,Ice Cream,4,4.99,19.96,0.9,3.81,22.87,Apple Pay,Delivery,3,6.25
ORD00250,04-09-2025,12:59:30,September,Thursday,CUST5278,Returning,Male,27,17,Emma,Starters,Chicken Wings,3,8.99,26.97,2.59,4.88,29.26,Cash,Delivery,4,9.25
ORD00251,05-12-2025,05:24:11,December,Friday,CUST5843,Returning,Female,43,13,James,Desserts,Cheesecake,2,6.99,13.98,1.51,2.49,14.96,Online,Delivery,5,4.34
ORD00252,08-04-2025,11:20:35,April,Tuesday,CUST8794,Returning,Female,28,18,Daniel,Desserts,Cheesecake,2,6.99,13.98,1.44,2.51,15.05,Apple Pay,Dine-in,4,4.34
ORD00253,07-03-2025,23:41:06,March,Friday,CUST6499,New,Male,40,8,Michael,Desserts,Cheesecake,5,6.99,34.95,4,6.19,37.14,Google Pay,Takeaway,4,8.59
ORD00254,14-05-2025,17:40:34,May,Wednesday,CUST2166,Returning,Male,50,4,David,Desserts,Brownie,1,5.99,5.99,0.42,1.11,6.68,Online,Takeaway,4,2.12
ORD00255,28-01-2025,07:09:28,January,Tuesday,CUST8496,New,Female,63,6,Sophia,Main Course,Butter Chicken,2,15.99,31.98,1.64,6.07,36.41,Google Pay,Takeaway,5,12.08
ORD00256,01-04-2025,06:41:55,April,Tuesday,CUST3762,New,Female,23,5,David,Desserts,Cheesecake,1,6.99,6.99,0,1.4,8.39,Google Pay,Takeaway,4,2.03
ORD00257,02-09-2025,01:16:57,September,Tuesday,CUST1230,Returning,Male,19,1,Emma,Drinks,Coke,1,2.99,2.99,0.24,0.55,3.3,Card,Delivery,4,0.99
ORD00258,09-06-2025,15:11:43,June,Monday,CUST2069,New,Female,36,15,Olivia,Main Course,Veg Biryani,4,12.99,51.96,3.92,9.61,57.65,Google Pay,Delivery,3,14.22
ORD00259,25-06-2025,19:42:57,June,Wednesday,CUST7609,New,Male,32,5,Emma,Drinks,Tea,2,2.49,4.98,0.12,0.97,5.83,Cash,Delivery,5,1.88
ORD00260,28-03-2025,17:11:00,March,Friday,CUST9761,New,Male,60,4,James,Starters,Chicken Wings,1,8.99,8.99,0.51,1.7,10.18,Cash,Delivery,3,2.93
ORD00261,02-08-2025,06:31:37,August,Saturday,CUST3508,New,Male,37,14,Sophia,Drinks,Fresh Juice,1,4.49,4.49,0.37,0.82,4.94,Online,Takeaway,5,1.32
ORD00262,07-11-2025,17:22:55,November,Friday,CUST5631,New,Male,49,7,Emma,Main Course,Pasta,1,13.49,13.49,1.04,2.49,14.94,Apple Pay,Delivery,3,4.27
ORD00263,03-07-2025,23:27:24,July,Thursday,CUST4402,Returning,Female,33,1,James,Drinks,Tea,2,2.49,4.98,0.03,0.99,5.94,Cash,Dine-in,5,1.61
ORD00264,09-12-2025,11:02:26,December,Tuesday,CUST2659,Returning,Male,47,10,Michael,Drinks,Coffee,1,3.99,3.99,0.47,0.7,4.22,Google Pay,Dine-in,3,0.92
ORD00265,31-03-2025,18:52:23,March,Monday,CUST2898,New,Male,18,5,Daniel,Starters,Chicken Wings,3,8.99,26.97,3.24,4.75,28.48,Apple Pay,Takeaway,4,7.05
ORD00266,15-11-2025,21:01:10,November,Saturday,CUST2865,Returning,Female,47,9,David,Desserts,Cheesecake,1,6.99,6.99,0.39,1.32,7.92,Google Pay,Takeaway,5,1.99
ORD00267,27-03-2025,15:11:22,March,Thursday,CUST2699,Returning,Female,54,15,Daniel,Starters,Garlic Bread,1,4.99,4.99,0.73,0.85,5.11,Online,Takeaway,4,1.6
ORD00268,10-11-2025,17:41:48,November,Monday,CUST7738,Returning,Male,22,9,Olivia,Starters,Garlic Bread,4,4.99,19.96,2.76,3.44,20.64,Cash,Delivery,5,4.59
ORD00269,26-09-2025,18:48:38,September,Friday,CUST2560,Returning,Male,48,12,David,Main Course,Burger,5,11.99,59.95,4.7,11.05,66.3,Card,Delivery,5,19.62
ORD00270,28-01-2025,05:10:00,January,Tuesday,CUST3709,New,Female,38,8,Olivia,Starters,Garlic Bread,5,4.99,24.95,3.18,4.35,26.12,Apple Pay,Dine-in,5,8.22
ORD00271,25-04-2025,09:23:57,April,Friday,CUST8341,New,Female,46,11,Sophia,Drinks,Fresh Juice,2,4.49,8.98,0.11,1.77,10.64,Google Pay,Delivery,5,2.81
ORD00272,10-01-2025,19:48:44,January,Friday,CUST2489,Returning,Male,59,15,Olivia,Starters,Soup,4,5.99,23.96,0.13,4.77,28.6,Apple Pay,Dine-in,3,7.92
ORD00273,21-08-2025,01:28:18,August,Thursday,CUST6952,Returning,Male,24,8,James,Desserts,Cheesecake,5,6.99,34.95,3.15,6.36,38.16,Apple Pay,Takeaway,5,11.37
ORD00274,30-05-2025,08:05:11,May,Friday,CUST3301,Returning,Male,34,20,Emma,Desserts,Cheesecake,1,6.99,6.99,0.05,1.39,8.33,Card,Dine-in,4,1.91
ORD00275,21-04-2025,01:24:49,April,Monday,CUST3018,Returning,Female,60,19,Daniel,Drinks,Coffee,3,3.99,11.97,0.19,2.36,14.14,Google Pay,Dine-in,5,3.68
ORD00276,25-01-2025,05:22:07,January,Saturday,CUST3845,New,Male,42,20,Olivia,Drinks,Fresh Juice,5,4.49,22.45,2.63,3.96,23.78,Online,Takeaway,4,7.66
ORD00277,08-11-2025,03:33:39,November,Saturday,CUST8419,New,Male,44,20,Michael,Main Course,Pizza,4,16.99,67.96,9.82,11.63,69.77,Online,Takeaway,5,23
ORD00278,11-10-2025,03:17:06,October,Saturday,CUST6657,New,Male,50,18,Olivia,Main Course,Paneer Butter Masala,2,13.99,27.98,2.62,5.07,30.43,Cash,Takeaway,5,7.45
ORD00279,03-09-2025,22:15:43,September,Wednesday,CUST1414,Returning,Male,21,2,Emma,Drinks,Tea,4,2.49,9.96,1.21,1.75,10.5,Apple Pay,Dine-in,4,2.87
ORD00280,16-12-2025,21:11:18,December,Tuesday,CUST9866,New,Female,46,4,Emma,Desserts,Ice Cream,1,4.99,4.99,0.52,0.89,5.36,Online,Takeaway,3,1.32
ORD00281,19-09-2025,17:38:39,September,Friday,CUST6122,New,Male,65,9,Emma,Desserts,Cheesecake,1,6.99,6.99,0.97,1.2,7.22,Online,Takeaway,3,1.85
ORD00282,21-11-2025,11:09:12,November,Friday,CUST4170,Returning,Female,29,3,Daniel,Desserts,Cheesecake,5,6.99,34.95,3.87,6.22,37.3,Card,Delivery,5,8.69
ORD00283,03-03-2025,16:46:57,March,Monday,CUST3636,Returning,Male,39,15,Daniel,Drinks,Coke,4,2.99,11.96,0.5,2.29,13.75,Cash,Dine-in,4,3.32
ORD00284,02-11-2025,03:23:51,November,Sunday,CUST2194,Returning,Male,29,17,Sophia,Starters,Chicken Wings,4,8.99,35.96,4.26,6.34,38.04,Online,Dine-in,4,10.54
ORD00285,06-10-2025,06:59:11,October,Monday,CUST6437,Returning,Female,36,7,Emily,Drinks,Coke,3,2.99,8.97,0.3,1.73,10.4,Online,Delivery,3,2.44
ORD00286,28-02-2025,11:39:20,February,Friday,CUST4994,New,Female,42,4,David,Desserts,Brownie,2,5.99,11.98,1.63,2.07,12.42,Apple Pay,Delivery,5,3.54
ORD00287,25-05-2025,22:22:56,May,Sunday,CUST1718,Returning,Male,38,17,Sophia,Starters,Chicken Wings,5,8.99,44.95,5.41,7.91,47.45,Cash,Dine-in,5,12.53
ORD00288,01-10-2025,22:36:58,October,Wednesday,CUST7950,New,Male,52,14,Sophia,Starters,Spring Rolls,2,6.99,13.98,1.41,2.51,15.08,Card,Dine-in,4,4.6
ORD00289,19-06-2025,05:54:24,June,Thursday,CUST2154,New,Female,44,13,Emily,Starters,Spring Rolls,1,6.99,6.99,0.06,1.39,8.32,Google Pay,Takeaway,4,2.56
ORD00290,09-01-2025,07:31:49,January,Thursday,CUST2036,New,Male,40,17,Sophia,Drinks,Coke,5,2.99,14.95,0.01,2.99,17.93,Apple Pay,Delivery,4,5.35
